ID,Torvdybde,X,Y,F5,Name,time,ele
1.000000,1.550000,555785.669802,7031626.027177,,,,
2.000000,1.940000,555713.533846,7031611.954101,,,,
3.000000,1.350000,555663.232914,7031626.235064,,,,
4.000000,1.060000,555622.083546,7031619.835754,,,,
5.000000,2.790000,555610.512575,7031598.683035,,,,
6.000000,1.530000,555586.263779,7031614.309678,,,,
7.000000,2.760000,555544.531908,7031578.145562,,,,
8.000000,1.680000,555517.188438,7031599.402670,,,,
9.000000,2.520000,555448.956947,7031570.358346,,,,
10.000000,1.730000,555437.651971,7031545.310337,,,,
11.000000,1.620000,555423.372213,7031536.258840,,,,
12.000000,2.720000,555462.232422,7031513.417433,,,,
13.000000,2.460000,555358.791895,7031567.459701,,,,
14.000000,1.560000,555322.489104,7031598.481993,,,,
15.000000,2.430000,555320.996901,7031595.224305,,,,
16.000000,2.610000,555310.907149,7031603.853969,,,,
17.000000,0.900000,555178.908636,7031616.842653,,,,
18.000000,0.760000,555132.059756,7031619.378359,,,,
19.000000,0.800000,555108.493411,7031633.237220,,,,
20.000000,1.050000,555097.901102,7031639.184224,,,,
21.000000,0.440000,555049.725524,7031643.369942,,,,
22.000000,0.690000,555027.803967,7031613.905913,,,,
23.000000,0.700000,554978.309863,7031537.830281,,,,
24.000000,1.000000,554970.445313,7031550.734113,,,,
25.000000,1.900000,554927.007455,7031482.564467,,,,
26.000000,1.920000,554907.258213,7031480.665285,,,,
27.000000,2.610000,554882.312447,7031446.804100,,,,
28.000000,1.770000,554839.589826,7031418.322042,,,,
29.000000,1.060000,554770.606250,7031444.332809,,,,
30.000000,1.540000,554752.916841,7031435.894655,"minerotroft sig med flaskestarr og takrør, smalt belte fra torvtaksskogen",,,
31.000000,2.580000,554721.507301,7031400.141066,,,,
32.000000,2.750000,554703.941136,7031369.862301,,,,
33.000000,1.580000,554752.004714,7031378.262546,,,,
34.000000,1.160000,554844.889863,7031385.982686,,,,
35.000000,1.270000,554895.410018,7031399.665073,,,,
36.000000,1.440000,554923.277149,7031403.040831,,,,
37.000000,1.920000,554968.102380,7031367.256910,,,,
38.000000,2.390000,554952.150394,7031315.830099,,,,
39.000000,1.270000,554994.156895,7031307.524794,innslag av duskull og elvesnelle,,,
40.000000,1.000000,555043.891605,7031308.825715,takrørbelte i V,,,
41.000000,1.290000,555055.649603,7031344.066029,,,,
42.000000,2.530000,555133.468928,7031343.355347,,,,
43.000000,1.850000,555137.759409,7031277.008543,,,,
44.000000,2.630000,555130.476749,7031227.067521,"en og en annen elvesnelle i våteste partier, ellers ombrotroft",,,
