Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Snødybde;Nedbør (døgn)
E39 Øysand;SN67153;13.03.2017;4,5;-;-;-;-
E39 Øysand;SN67153;03.04.2017;8,9;-;-;-;-
E39 Øysand;SN67153;04.04.2017;7,9;-;-;-;-
E39 Øysand;SN67153;05.04.2017;6,7;-;-;-;-
E39 Øysand;SN67153;06.04.2017;6,9;-;-;-;-
E39 Øysand;SN67153;07.04.2017;6,5;-;-;-;-
E39 Øysand;SN67153;08.04.2017;8,4;-;-;-;-
E39 Øysand;SN67153;09.04.2017;11,2;-;-;-;-
E39 Øysand;SN67153;10.04.2017;7,2;-;-;-;-
E39 Øysand;SN67153;11.04.2017;4,5;-;-;-;-
E39 Øysand;SN67153;12.04.2017;4,9;-;-;-;-
E39 Øysand;SN67153;13.04.2017;4,5;-;-;-;-
E39 Øysand;SN67153;14.04.2017;3,8;-;-;-;-
E39 Øysand;SN67153;15.04.2017;4,5;-;-;-;-
E39 Øysand;SN67153;16.04.2017;4,6;-;-;-;-
E39 Øysand;SN67153;17.04.2017;5,9;-;-;-;-
E39 Øysand;SN67153;18.04.2017;5,4;-;-;-;-
E39 Øysand;SN67153;19.04.2017;6,8;-;-;-;-
E39 Øysand;SN67153;20.04.2017;7,9;-;-;-;-
E39 Øysand;SN67153;21.04.2017;5,6;-;-;-;-
E39 Øysand;SN67153;22.04.2017;4,9;-;-;-;-
E39 Øysand;SN67153;23.04.2017;3,8;-;-;-;-
E39 Øysand;SN67153;24.04.2017;4,1;-;-;-;-
E39 Øysand;SN67153;25.04.2017;6,4;-;-;-;-
E39 Øysand;SN67153;26.04.2017;4,4;-;-;-;-
E39 Øysand;SN67153;28.04.2017;6,2;-;-;-;-
E39 Øysand;SN67153;29.04.2017;8,5;-;-;-;-
E39 Øysand;SN67153;30.04.2017;7,4;-;-;-;-
E39 Øysand;SN67153;01.05.2017;9,9;-;-;-;-
E39 Øysand;SN67153;02.05.2017;9,7;-;-;-;-
E39 Øysand;SN67153;03.05.2017;8,5;-;-;-;-
E39 Øysand;SN67153;04.05.2017;9,7;-;-;-;-
E39 Øysand;SN67153;05.05.2017;13,8;-;-;-;-
E39 Øysand;SN67153;06.05.2017;9,6;-;-;-;-
E39 Øysand;SN67153;07.05.2017;6,9;-;-;-;-
E39 Øysand;SN67153;08.05.2017;6;-;-;-;-
E39 Øysand;SN67153;09.05.2017;5,2;-;-;-;-
E39 Øysand;SN67153;10.05.2017;6,3;-;-;-;-
E39 Øysand;SN67153;11.05.2017;8,3;-;-;-;-
E39 Øysand;SN67153;12.05.2017;10;-;-;-;-
E39 Øysand;SN67153;13.05.2017;12,3;-;-;-;-
E39 Øysand;SN67153;14.05.2017;14;-;-;-;-
E39 Øysand;SN67153;15.05.2017;13,7;-;-;-;-
E39 Øysand;SN67153;16.05.2017;14,9;-;-;-;-
E39 Øysand;SN67153;17.05.2017;14,3;-;-;-;-
E39 Øysand;SN67153;18.05.2017;13,8;-;-;-;-
E39 Øysand;SN67153;19.05.2017;13,5;-;-;-;-
E39 Øysand;SN67153;21.05.2017;12,5;-;-;-;-
E39 Øysand;SN67153;22.05.2017;10;-;-;-;-
E39 Øysand;SN67153;23.05.2017;12,2;-;-;-;-
E39 Øysand;SN67153;24.05.2017;11,4;-;-;-;-
E39 Øysand;SN67153;25.05.2017;11,6;-;-;-;-
E39 Øysand;SN67153;26.05.2017;12,5;-;-;-;-
E39 Øysand;SN67153;27.05.2017;15,4;-;-;-;-
E39 Øysand;SN67153;28.05.2017;14,8;-;-;-;-
E39 Øysand;SN67153;29.05.2017;12,1;-;-;-;-
E39 Øysand;SN67153;30.05.2017;10,6;-;-;-;-
E39 Øysand;SN67153;31.05.2017;8,4;-;-;-;-
E39 Øysand;SN67153;01.06.2017;8,2;-;-;-;-
E39 Øysand;SN67153;02.06.2017;11,6;-;-;-;-
E39 Øysand;SN67153;03.06.2017;12,4;-;-;-;-
E39 Øysand;SN67153;04.06.2017;13,1;-;-;-;-
E39 Øysand;SN67153;05.06.2017;13,2;-;-;-;-
E39 Øysand;SN67153;06.06.2017;15,9;-;-;-;-
E39 Øysand;SN67153;07.06.2017;20,8;-;-;-;-
E39 Øysand;SN67153;10.06.2017;16,6;-;-;-;-
E39 Øysand;SN67153;11.06.2017;17,1;-;-;-;-
E39 Øysand;SN67153;12.06.2017;14,3;-;-;-;-
E39 Øysand;SN67153;13.06.2017;14,8;-;-;-;-
E39 Øysand;SN67153;14.06.2017;15,3;-;-;-;-
E39 Øysand;SN67153;15.06.2017;17,6;-;-;-;-
