Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Skjetlein;SN67140;01.01.2017;0,8;3,6;-1,5;8,6;-
Skjetlein;SN67140;02.01.2017;-2,1;0,3;-4,2;2;-
Skjetlein;SN67140;03.01.2017;-0,9;0,8;-4,4;0;-
Skjetlein;SN67140;04.01.2017;-9;0;-15,1;0;-
Skjetlein;SN67140;05.01.2017;-10,8;-6,8;-17,1;0;-
Skjetlein;SN67140;06.01.2017;-2,4;2,5;-9,4;0;-
Skjetlein;SN67140;07.01.2017;1,6;3,2;0,1;0,2;-
Skjetlein;SN67140;08.01.2017;3,4;6,1;-0,2;1;-
Skjetlein;SN67140;09.01.2017;3;5,6;1,1;10,2;-
Skjetlein;SN67140;10.01.2017;3,8;6,6;0,2;0,2;-
Skjetlein;SN67140;11.01.2017;3,8;6,5;0,1;0,2;-
Skjetlein;SN67140;12.01.2017;-2,7;0,7;-4,5;2;-
Skjetlein;SN67140;13.01.2017;-3,3;-1,8;-6,8;0;-
Skjetlein;SN67140;14.01.2017;-2,2;0,6;-3,9;0,2;-
Skjetlein;SN67140;15.01.2017;-2;-0,1;-4,1;0;-
Skjetlein;SN67140;16.01.2017;-3,4;-0,5;-6,4;0;-
Skjetlein;SN67140;17.01.2017;1;2,9;-3,7;0;-
Skjetlein;SN67140;18.01.2017;4,5;7,9;0,8;0;-
Skjetlein;SN67140;19.01.2017;4,4;7,6;2,4;0,4;-
Skjetlein;SN67140;20.01.2017;3,7;7,1;0;6,4;-
Skjetlein;SN67140;21.01.2017;4,3;6,5;1,9;24,8;-
Skjetlein;SN67140;22.01.2017;4,1;5,5;1,9;0,6;-
Skjetlein;SN67140;23.01.2017;3,7;6;2,6;0,8;-
Skjetlein;SN67140;24.01.2017;1,3;3,6;-0,6;1;-
Skjetlein;SN67140;25.01.2017;3,7;8,8;0,5;0,2;-
Skjetlein;SN67140;26.01.2017;2,6;5,5;0,1;0;-
Skjetlein;SN67140;27.01.2017;-2,6;0,7;-4,1;0;-
Skjetlein;SN67140;28.01.2017;1,5;4,9;-3,8;0;-
Skjetlein;SN67140;29.01.2017;3,7;6,3;0,9;0;-
Skjetlein;SN67140;30.01.2017;0,1;2,7;-2,3;2,6;-
Skjetlein;SN67140;31.01.2017;-3,9;0,1;-5,6;0,2;-
Skjetlein;SN67140;01.02.2017;-3,7;-1,7;-8;0;-
Skjetlein;SN67140;02.02.2017;0,5;1,9;-1,8;0;-
Skjetlein;SN67140;03.02.2017;-0,6;2,4;-2,7;0;-
Skjetlein;SN67140;04.02.2017;-0,7;4,4;-6,3;0;-
Skjetlein;SN67140;05.02.2017;2,3;4,4;-0,7;0;-
Skjetlein;SN67140;06.02.2017;2,2;4,3;0,6;0;-
Skjetlein;SN67140;07.02.2017;-4,4;0,7;-6;0;-
Skjetlein;SN67140;08.02.2017;-6,8;-3;-8,6;0;-
Skjetlein;SN67140;09.02.2017;-5,3;0,4;-10,7;0;-
Skjetlein;SN67140;10.02.2017;-3,4;0,1;-8,3;0;-
Skjetlein;SN67140;11.02.2017;-5,3;-0,4;-8,4;0;-
Skjetlein;SN67140;12.02.2017;-4,5;-0,6;-9,4;0;-
Skjetlein;SN67140;13.02.2017;4,4;5,7;-1,1;0;-
Skjetlein;SN67140;14.02.2017;1,8;4,9;1,4;0;-
Skjetlein;SN67140;15.02.2017;-1,5;3,3;-5,8;0;-
